date,category,amount,description
2024-01-01,Food,150.00,Grocery shopping
2024-01-02,Transport,25.00,Uber ride
2024-01-03,Entertainment,50.00,Movie tickets
2024-01-04,Food,30.00,Restaurant lunch
2024-01-05,Utilities,200.00,Electricity bill
2024-01-06,Food,75.00,Weekend groceries
2024-01-07,Transport,15.00,Bus fare
2024-01-08,Healthcare,120.00,Pharmacy
2024-01-09,Food,45.00,Coffee and snacks
2024-01-10,Entertainment,80.00,Concert tickets
2024-01-11,Transport,35.00,Taxi
2024-01-12,Food,90.00,Dinner out
2024-01-13,Utilities,150.00,Water bill
2024-01-14,Shopping,200.00,Clothing
2024-01-15,Food,60.00,Lunch
2024-01-16,Transport,20.00,Metro card
2024-01-17,Entertainment,40.00,Streaming subscription
2024-01-18,Food,110.00,Grocery shopping
2024-01-19,Healthcare,80.00,Doctor visit
2024-01-20,Transport,30.00,Parking
2024-01-21,Food,55.00,Brunch
2024-01-22,Utilities,180.00,Internet bill
2024-01-23,Shopping,150.00,Electronics
2024-01-24,Food,40.00,Coffee
2024-01-25,Transport,25.00,Uber
2024-01-26,Entertainment,60.00,Book purchase
2024-01-27,Food,85.00,Dinner
2024-01-28,Healthcare,100.00,Prescription
2024-01-29,Transport,20.00,Bus
2024-01-30,Food,70.00,Lunch
2024-01-31,Utilities,220.00,Gas bill
